algo,size_bytes,enc_mean_us,enc_std_us,dec_mean_us,dec_std_us,enc_MBps,dec_MBps
chacha20_poly1305,16,2.54,0.61,2.13,0.46,6.30,7.51
chacha20_poly1305,32,2.40,0.07,2.05,0.05,13.33,15.58
chacha20_poly1305,64,2.48,0.67,2.01,0.06,25.83,31.84
chacha20_poly1305,128,2.44,0.09,2.10,0.04,52.37,61.01
chacha20_poly1305,256,2.51,0.09,2.16,0.06,101.83,118.30
chacha20_poly1305,512,2.63,0.10,2.24,0.05,194.53,228.16
chacha20_poly1305,1024,2.84,0.14,2.40,0.06,360.06,426.31
chacha20_poly1305,2048,3.40,0.13,2.75,0.05,602.35,744.73
chacha20_poly1305,4096,4.14,0.12,3.52,0.08,988.42,1162.98
