algo,size_bytes,enc_mean_us,enc_std_us,dec_mean_us,dec_std_us,enc_MBps,dec_MBps
my_cipher,16,16.79,0.49,22.84,1.01,0.95,0.70
my_cipher,32,23.39,2.25,29.51,2.38,1.37,1.08
my_cipher,64,29.76,2.58,36.06,4.21,2.15,1.77
my_cipher,128,44.61,6.21,50.42,5.71,2.87,2.54
my_cipher,256,71.40,4.95,76.82,2.45,3.59,3.33
my_cipher,512,127.61,3.72,132.40,2.90,4.01,3.87
my_cipher,1024,239.22,4.98,235.78,12.39,4.28,4.34
my_cipher,2048,452.85,13.71,434.30,11.10,4.52,4.72
my_cipher,4096,881.16,27.17,854.74,25.46,4.65,4.79
